"hash","added lines","deleted lines","file"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Concepts/{per-cpu.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Concepts/{cpumask.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Concepts/{initcall.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Concepts/{notification_chains.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"DataStructures/{dlist.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"DataStructures/{radix-tree.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"DataStructures/{bitmap.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"KernelStructures/{idt.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Misc/{contribute.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Misc/{how_kernel_compiled.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Misc/{linkers.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Misc/{program_startup.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-1.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-2.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-3.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-4.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-5.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SyncPrim/{sync-6.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-1.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-2.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-3.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-4.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-5.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"SysCall/{syscall-6.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Theory/{Paging.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Theory/{ELF.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Theory/{asm.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-1.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-2.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-3.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-4.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-5.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-6.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"Timers/{timers-7.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-1.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-10.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-2.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-3.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-4.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-5.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-6.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-7.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-8.md"
"6d69c2431baa928987366f906357205c552398d5",0,0,"interrupts/{interrupts-9.md"
"af8826bca15e8bb3fc19980bbf4b2f75359edcb0",10,10,"SyncPrim/sync-1.md"
"af8826bca15e8bb3fc19980bbf4b2f75359edcb0",1,0,"contributors.md"
"081d4335ff4a6d918313ed902d9e07918f152f2c",22,18,"SysCall/syscall-1.md"
"081d4335ff4a6d918313ed902d9e07918f152f2c",1,0,"contributors.md"
"ddb7c468123dcd74aeaf26809620c5665e09f456",1,1,"interrupts/interrupts-10.md"
"9f25c762c377a9b070aee980994f89eb5ee7933e",1,1,"Misc/program_startup.md"
